Time: 1638756551.9374032, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2.0
Time: 1638756551.9411077, File: /opt/project/inputs/addition.csv, Record Number: 1, Operation: add, Result: 4.0
Time: 1638756552.0288737, File: /opt/project/inputs/division.csv, Record Number: 0, Operation: divide, Result: 5.0
Time: 1638756552.033102, File: /opt/project/inputs/division.csv, Record Number: 1, Operation: divide, Result: 5.0
Time: 1638756552.0604503, File: /opt/project/inputs/multiplication.csv, Record Number: 0, Operation: multiply, Result: 25.0
Time: 1638756552.0650828, File: /opt/project/inputs/multiplication.csv, Record Number: 1, Operation: multiply, Result: 4.0
Time: 1638756552.1049225, File: /opt/project/inputs/subtraction.csv, Record Number: 0, Operation: subtract, Result: 5.0
Time: 1638756552.1150074, File: /opt/project/inputs/subtraction.csv, Record Number: 1, Operation: subtract, Result: 6.0
Time: 1638757020.2100015, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2.0
Time: 1638757020.2154815, File: /opt/project/inputs/addition.csv, Record Number: 1, Operation: add, Result: 4.0
Time: 1638757020.303857, File: /opt/project/inputs/division.csv, Record Number: 0, Operation: divide, Result: 5.0
Time: 1638757020.307484, File: /opt/project/inputs/division.csv, Record Number: 1, Operation: divide, Result: 5.0
Time: 1638757020.344505, File: /opt/project/inputs/multiplication.csv, Record Number: 0, Operation: multiply, Result: 25.0
Time: 1638757020.3547497, File: /opt/project/inputs/multiplication.csv, Record Number: 1, Operation: multiply, Result: 4.0
Time: 1638757020.388291, File: /opt/project/inputs/subtraction.csv, Record Number: 0, Operation: subtract, Result: 5.0
Time: 1638757020.400412, File: /opt/project/inputs/subtraction.csv, Record Number: 1, Operation: subtract, Result: 6.0
Time: 1638757122.1807523, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2.0
Time: 1638757122.1844296, File: /opt/project/inputs/addition.csv, Record Number: 1, Operation: add, Result: 4.0
Time: 1638757122.2534893, File: /opt/project/inputs/division.csv, Record Number: 0, Operation: divide, Result: 5.0
Time: 1638757122.256627, File: /opt/project/inputs/division.csv, Record Number: 1, Operation: divide, Result: 5.0
Time: 1638757122.2845545, File: /opt/project/inputs/multiplication.csv, Record Number: 0, Operation: multiply, Result: 25.0
Time: 1638757122.2875385, File: /opt/project/inputs/multiplication.csv, Record Number: 1, Operation: multiply, Result: 4.0
Time: 1638757122.3176134, File: /opt/project/inputs/subtraction.csv, Record Number: 0, Operation: subtract, Result: 5.0
Time: 1638757122.3213577, File: /opt/project/inputs/subtraction.csv, Record Number: 1, Operation: subtract, Result: 6.0
